"age","married","happiness"
65,0,-2
65,0,-1.78947368421053
65,1,-1.57894736842105
65,0,-1.36842105263158
65,0,-1.15789473684211
65,0,-0.947368421052632
65,1,-0.736842105263158
65,1,-0.526315789473684
65,0,-0.315789473684211
65,0,-0.105263157894737
65,1,0.105263157894737
65,1,0.315789473684211
65,1,0.526315789473684
65,1,0.736842105263158
65,0,0.947368421052631
65,1,1.15789473684211
65,1,1.36842105263158
65,1,1.57894736842105
65,1,1.78947368421053
65,1,2
64,0,-2
64,0,-1.78947368421053
64,0,-1.57894736842105
64,0,-1.36842105263158
64,0,-1.15789473684211
64,0,-0.947368421052632
64,0,-0.736842105263158
64,1,-0.526315789473684
64,0,-0.315789473684211
64,0,-0.105263157894737
64,1,0.105263157894737
64,1,0.315789473684211
64,1,0.526315789473684
64,1,0.736842105263158
64,0,0.947368421052631
64,1,1.15789473684211
64,1,1.36842105263158
64,1,1.57894736842105
64,1,1.78947368421053
64,1,2
63,0,-2
63,0,-1.78947368421053
63,1,-1.57894736842105
63,0,-1.36842105263158
63,0,-1.15789473684211
63,0,-0.947368421052632
63,0,-0.736842105263158
63,1,-0.526315789473684
63,0,-0.315789473684211
63,0,-0.105263157894737
63,0,0.105263157894737
63,1,0.315789473684211
63,1,0.526315789473684
63,1,0.736842105263158
63,1,0.947368421052631
63,1,1.15789473684211
63,1,1.36842105263158
63,1,1.57894736842105
63,1,1.78947368421053
63,1,2
62,0,-2
62,0,-1.78947368421053
62,0,-1.57894736842105
62,0,-1.36842105263158
62,1,-1.15789473684211
62,0,-0.947368421052632
62,0,-0.736842105263158
62,1,-0.526315789473684
62,1,-0.315789473684211
62,0,-0.105263157894737
62,1,0.105263157894737
62,0,0.315789473684211
62,1,0.526315789473684
62,1,0.736842105263158
62,1,0.947368421052631
62,1,1.15789473684211
62,1,1.36842105263158
62,1,1.57894736842105
62,1,1.78947368421053
62,1,2
61,0,-2
61,0,-1.78947368421053
61,0,-1.57894736842105
61,0,-1.36842105263158
61,1,-1.15789473684211
61,0,-0.947368421052632
61,0,-0.736842105263158
61,0,-0.526315789473684
61,1,-0.315789473684211
61,0,-0.105263157894737
61,1,0.105263157894737
61,0,0.315789473684211
61,1,0.526315789473684
61,1,0.736842105263158
61,1,0.947368421052631
61,1,1.15789473684211
61,1,1.36842105263158
61,1,1.57894736842105
61,1,1.78947368421053
61,1,2
60,0,-2
60,0,-1.78947368421053
60,1,-1.57894736842105
60,1,-1.36842105263158
60,0,-1.15789473684211
60,0,-0.947368421052632
60,0,-0.736842105263158
60,0,-0.526315789473684
60,1,-0.315789473684211
60,1,-0.105263157894737
60,1,0.105263157894737
60,0,0.315789473684211
60,1,0.526315789473684
60,0,0.736842105263158
60,1,0.947368421052631
60,1,1.15789473684211
60,1,1.36842105263158
60,1,1.57894736842105
60,1,1.78947368421053
60,1,2
59,0,-2
59,0,-1.78947368421053
59,0,-1.57894736842105
59,0,-1.36842105263158
59,1,-1.15789473684211
59,0,-0.947368421052632
59,0,-0.736842105263158
59,1,-0.526315789473684
59,0,-0.315789473684211
59,1,-0.105263157894737
59,0,0.105263157894737
59,1,0.315789473684211
59,1,0.526315789473684
59,1,0.736842105263158
59,1,0.947368421052631
59,1,1.15789473684211
59,1,1.36842105263158
59,1,1.57894736842105
59,1,1.78947368421053
59,1,2
58,0,-2
58,1,-1.78947368421053
58,1,-1.57894736842105
58,0,-1.36842105263158
58,0,-1.15789473684211
58,1,-0.947368421052632
58,0,-0.736842105263158
58,1,-0.526315789473684
